rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range
190.01,136,90.13,230,139264,603,1350,1017.2730058670044,0.5243080854415894,462.1622009277344,0.00966796875,-0.0636023493949324,-0.0007256478769704699,0.0003,0.0009226027,0.2
195.3,137,91.46,232,140288,604,1360,1292.5539619445801,0.3327101469039917,766.97265625,0.012109375,-0.06627848346251994,-0.0011244656634517014,0.0003,0.0012239203,0.2
196.21,138,92.37,233,141312,604,1370,1365.9153228759765,0.3424651026725769,724.8790283203125,0.03662109375,-0.07482451309915632,-0.004833723232150078,0.0003,0.0013411599,0.2
200.99,139,93.19,235,142336,604,1380,1557.4021347045898,0.25987857580184937,764.6207275390625,0.00205078125,-0.07090990990400314,-0.00020913492771796883,0.0003,0.0003228603,0.2
207.92,140,95.17,237,143360,603,1390,1053.024425125122,0.4145005941390991,558.354248046875,0.01865234375,-0.0656921860994771,-0.0021097937715239823,0.0003,0.0008223972,0.2
195.9,141,92.06,239,144384,603,1400,1053.6201240539551,0.4804213047027588,390.2895812988281,0.00634765625,-0.06291960276430472,-0.0005071814259281382,0.0003,0.0005479476,0.2
197.94,142,93.11,240,145408,603,1410,1270.576159286499,0.41901683807373047,779.051513671875,9.765625e-05,-0.07089447292964905,2.919539110735059e-06,0.0003,0.00025427152,0.2
204.57,143,94.79,242,146432,603,1420,1270.490125656128,0.420077919960022,760.6390991210938,0.0107421875,-0.06542875800514594,-0.0008451275760307908,0.0003,0.00025595532,0.2
200.86,144,94.05,244,147456,604,1430,1220.091823196411,0.3992593288421631,555.8480834960938,0.00029296875,-0.07045452744932845,-0.0001563526748213917,0.0003,0.00017718453,0.2
214.74,145,98.03,245,148480,604,1440,1789.292734527588,0.20287787914276123,678.1651611328125,0.00615234375,-0.06382726207375526,-0.0001289292413275689,0.0003,0.00032696576,0.2
210.87,146,97.13,247,149504,604,1450,1173.52869720459,0.4673733711242676,801.6522216796875,0.00673828125,-0.0663588335039094,0.0003823751932941377,0.0003,0.00026449232,0.2
209.83,147,97.08,248,150528,604,1460,876.4810375213623,0.5568581223487854,546.0452880859375,0.00576171875,-0.06167761067626998,-0.0006001382425893098,0.0003,0.00010408793,0.2
